externalId,name,type,market,address,city
POI-ACC-004,Dompet Pria Slim Minimalist,ACC,IDN,Jl. Asia Afrika No. 5,Bandung
POI-ACC-005,Kacamata Sunglasses Retro,ACC,IDN,Jl. Thamrin No. 20,Jakarta
POI-ACC-006,Topi Baseball Unisex,ACC,IDN,Jl. Pemuda No. 33,Semarang
POI-ACC-007,Ikat Pinggang Kulit Genuine,ACC,IDN,Jl. Raya Darmo No. 12,Surabaya
POI-ACC-008,Cincin Silver 925 Minimalis,ACC,IDN,Jl. Braga No. 9,Bandung
POI-ACC-009,Kalung Rantai Wanita Gold,ACC,IDN,Jl. Sabang No. 17,Jakarta
POI-ACC-010,Gelang Titanium Pria,ACC,IDN,Jl. Solo No. 44,Yogyakarta
POI-TTD-004,Voucher Game Free Fire 100 Diamond,TTD,IDN,,
POI-TTD-005,Token Listrik PLN 50000,TTD,IDN,,
POI-TTD-006,Pulsa All Operator 25000,TTD,IDN,,
POI-TTD-007,Langganan Spotify Premium 1 Bulan,TTD,IDN,,
POI-TTD-008,Voucher Netflix 1 Bulan,TTD,IDN,,
POI-TTD-009,Voucher Shopee Pay 50000,TTD,IDN,,
POI-TTD-010,Paket Internet XL 10GB 7 Hari,TTD,IDN,,
POI-FNB-004,Nasi Padang Box Premium,FNB,IDN,Jl. Minangkabau No. 7,Jakarta
POI-FNB-005,Mie Ayam Bakso Spesial,FNB,IDN,Jl. Sudirman No. 88,Yogyakarta
POI-FNB-006,Martabak Manis Crispy,FNB,IDN,Jl. Dago No. 55,Bandung
POI-FNB-007,Sate Ayam Madura Komplit,FNB,IDN,Jl. Veteran No. 3,Malang
POI-FNB-008,Dimsum Frozen Homemade,FNB,IDN,Jl. Panglima Sudirman No. 11,Surabaya
POI-FNB-009,Es Teh Manis Jumbo,FNB,IDN,Jl. Perintis No. 4,Medan
POI-FNB-010,Donat Glazed Viral,FNB,IDN,Jl. Urip Sumoharjo No. 22,Makassar
